810,567,50
118,239,50
395,588,50
74,174,50
499,335,50
947,92,50
919,733,50
197,529,50
349,532,50
895,266,50
814,69,50
454,171,50
316,166,50
273,498,50
396,712,50
684,718,50
436,471,50
698,392,50
749,498,50
730,186,50
282,603,50
810,341,50
214,221,50
599,598,50
618,193,50
152,137,50
672,52,50
381,372,50
942,342,50
118,497,50
346,108,50
676,616,50
324,326,50
84,664,50
251,138,50
968,561,50
103,366,50
885,557,50
524,523,50
757,694,50
562,160,50
250,305,50
541,662,50
656,144,50
530,74,50
313,429,50
595,507,50
435,332,50
662,538,50
756,604,50
823,442,50
137,739,50
69,108,50
173,53,50
461,715,50
510,202,50
310,239,50
561,326,50
967,418,50
746,258,50
